+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?BFvw |         8          |        26       |   3   |        3         |
| G?BFvs |         8          |        26       |   3   |        3         |
| G?BFv{ |         8          |        28       |   3   |        3         |
| G?BFno |         8          |        24       |   3   |        3         |
| G?BFnW |         8          |        24       |   3   |        3         |
| G?BFnw |         8          |        26       |   3   |        3         |
| G?BFns |         8          |        26       |   3   |        3         |
| G?BFn[ |         8          |        26       |   3   |        4         |
| G?BFn{ |         8          |        28       |   3   |        4         |
| G?BD~o |         8          |        24       |   3   |        3         |
| G?BD~g |         8          |        24       |   3   |        3         |
| G?BD|w |         8          |        24       |   3   |        3         |
| G?BDzw |         8          |        24       |   3   |        3         |
| G?BD~w |         8          |        26       |   3   |        3         |
| G?BD~s |         8          |        26       |   3   |        3         |
| G?BD~k |         8          |        26       |   3   |        4         |
| G?BD|{ |         8          |        26       |   3   |        4         |
| G?BDz{ |         8          |        26       |   3   |        3         |
| G?BD~{ |         8          |        28       |   3   |        4         |
| G?BF~w |         8          |        28       |   3   |        3         |
| G?BF~{ |         8          |        30       |   3   |        4         |
| G?BfEo |         8          |        20       |   4   |        2         |
| G?Bf?{ |         8          |        20       |   4   |        2         |
| G?BfFo |         8          |        22       |   4   |        2         |
| G?BfEw |         8          |        22       |   3   |        3         |
| G?BfC{ |         8          |        22       |   3   |        3         |
| G?BfFw |         8          |        24       |   3   |        3         |
| G?BfE{ |         8          |        24       |   3   |        3         |
| G?BfF{ |         8          |        26       |   3   |        3         |
| G?BefO |         8          |        20       |   4   |        2         |
| G?Bedo |         8          |        20       |   4   |        2         |
| G?BeeW |         8          |        20       |   3   |        3         |
| G?Becw |         8          |        20       |   3   |        3         |
| G?Bec[ |         8          |        20       |   3   |        3         |
| G?Be`[ |         8          |        20       |   3   |        3         |
| G?Befo |         8          |        22       |   4   |        2         |
| G?BefW |         8          |        22       |   3   |        3         |
| G?Beew |         8          |        22       |   3   |        3         |
| G?Bedw |         8          |        22       |   3   |        3         |
| G?Bee[ |         8          |        22       |   3   |        3         |
| G?Bed[ |         8          |        22       |   3   |        3         |
| G?Be`{ |         8          |        22       |   3   |        3         |
| G?Befw |         8          |        24       |   3   |        3         |
| G?Bef[ |         8          |        24       |   3   |        3         |
| G?Bed{ |         8          |        24       |   3   |        3         |
| G?Bef{ |         8          |        26       |   3   |        3         |
| G?Bcr_ |         8          |        18       |   4   |        2         |
| G?Bcv_ |         8          |        20       |   4   |        2         |
| G?Bcro |         8          |        20       |   4   |        2         |
| G?BcvG |         8          |        20       |   3   |        3         |
| G?Bcug |         8          |        20       |   3   |        3         |
| G?Bcrg |         8          |        20       |   3   |        3         |
| G?Bcsw |         8          |        20       |   3   |        3         |
| G?Bcqw |         8          |        20       |   3   |        3         |
| G?BcuK |         8          |        20       |   3   |        3         |
| G?BcrK |         8          |        20       |   3   |        3         |
| G?Bcqk |         8          |        20       |   3   |        3         |
