+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| GCQRTg |         8          |        22       |   3   |        4         |
| GCQRUS |         8          |        22       |   3   |        4         |
| GCQRVo |         8          |        24       |   3   |        3         |
| GCQRVg |         8          |        24       |   3   |        4         |
| GCQRUw |         8          |        24       |   3   |        4         |
| GCQRVc |         8          |        24       |   3   |        3         |
| GCQRVS |         8          |        24       |   3   |        4         |
| GCQRUs |         8          |        24       |   3   |        4         |
| GCQRUk |         8          |        24       |   3   |        4         |
| GCQRTk |         8          |        24       |   3   |        4         |
| GCQRVw |         8          |        26       |   3   |        4         |
| GCQRVs |         8          |        26       |   3   |        4         |
| GCQRVk |         8          |        26       |   3   |        4         |
| GCQRU{ |         8          |        26       |   3   |        4         |
| GCQRV{ |         8          |        28       |   3   |        4         |
| GCQSnO |         8          |        22       |   3   |        4         |
| GCQSno |         8          |        24       |   3   |        4         |
| GCQSng |         8          |        24       |   3   |        4         |
| GCQSnw |         8          |        26       |   3   |        4         |
| GCQSnk |         8          |        26       |   3   |        5         |
| GCQSn{ |         8          |        28       |   3   |        5         |
| GCQVbW |         8          |        24       |   3   |        3         |
| GCQVfo |         8          |        26       |   3   |        3         |
| GCQVfg |         8          |        26       |   3   |        4         |
| GCQVfW |         8          |        26       |   3   |        3         |
| GCQVew |         8          |        26       |   3   |        4         |
| GCQVdw |         8          |        26       |   3   |        4         |
| GCQVfc |         8          |        26       |   3   |        4         |
| GCQVfS |         8          |        26       |   3   |        3         |
| GCQVes |         8          |        26       |   3   |        4         |
| GCQVds |         8          |        26       |   3   |        4         |
| GCQVfK |         8          |        26       |   3   |        3         |
| GCQVek |         8          |        26       |   3   |        4         |
| GCQVe[ |         8          |        26       |   3   |        3         |
| GCQVd[ |         8          |        26       |   3   |        3         |
| GCQVb[ |         8          |        26       |   3   |        3         |
| GCQVc{ |         8          |        26       |   3   |        4         |
| GCQVfw |         8          |        28       |   3   |        4         |
| GCQVfs |         8          |        28       |   3   |        4         |
| GCQVfk |         8          |        28       |   3   |        4         |
| GCQVf[ |         8          |        28       |   3   |        3         |
| GCQVe{ |         8          |        28       |   3   |        4         |
| GCQVd{ |         8          |        28       |   3   |        4         |
| GCQVf{ |         8          |        30       |   3   |        4         |
| GCQVRo |         8          |        24       |   3   |        3         |
| GCQVQw |         8          |        24       |   3   |        4         |
| GCQVVo |         8          |        26       |   3   |        3         |
| GCQVVg |         8          |        26       |   3   |        4         |
| GCQVUw |         8          |        26       |   3   |        4         |
| GCQVRw |         8          |        26       |   3   |        4         |
| GCQVVS |         8          |        26       |   3   |        4         |
| GCQVUs |         8          |        26       |   3   |        4         |
| GCQVRs |         8          |        26       |   3   |        4         |
| GCQVQ{ |         8          |        26       |   3   |        4         |
| GCQVVw |         8          |        28       |   3   |        4         |
| GCQVVs |         8          |        28       |   3   |        4         |
| GCQVVk |         8          |        28       |   3   |        4         |
| GCQVU{ |         8          |        28       |   3   |        4         |
| GCQVR{ |         8          |        28       |   3   |        4         |
| GCQVV{ |         8          |        30       |   3   |        4         |
| GCQUvo |         8          |        26       |   3   |        3         |
| GCQUvg |         8          |        26       |   3   |        4         |
| GCQUvW |         8          |        26       |   3   |        4         |
| GCQUvw |         8          |        28       |   3   |        4         |
| GCQUvs |         8          |        28       |   3   |        4         |
| GCQUvk |         8          |        28       |   3   |        4         |
| GCQUv[ |         8          |        28       |   3   |        4         |
| GCQUv{ |         8          |        30       |   3   |        4         |
| GCQUno |         8          |        26       |   3   |        4         |
| GCQUng |         8          |        26       |   3   |        4         |
| GCQUlw |         8          |        26       |   3   |        4         |
| GCQUnS |         8          |        26       |   3   |        4         |
| GCQUnw |         8          |        28       |   3   |        4         |
| GCQUns |         8          |        28       |   3   |        4         |
| GCQUnk |         8          |        28       |   3   |        5         |
| GCQUl{ |         8          |        28       |   3   |        5         |
| GCQUn{ |         8          |        30       |   3   |        5         |
| GCQTno |         8          |        26       |   3   |        4         |
| GCQTng |         8          |        26       |   3   |        4         |
| GCQTmw |         8          |        26       |   3   |        4         |
| GCQTnc |         8          |        26       |   3   |        4         |
| GCQTnS |         8          |        26       |   3   |        4         |
| GCQTms |         8          |        26       |   3   |        4         |
| GCQTmk |         8          |        26       |   3   |        5         |
| GCQTnw |         8          |        28       |   3   |        4         |
| GCQTns |         8          |        28       |   3   |        4         |
| GCQTnk |         8          |        28       |   3   |        5         |
| GCQTm{ |         8          |        28       |   3   |        5         |
| GCQTn{ |         8          |        30       |   3   |        5         |
| GCQVvo |         8          |        28       |   3   |        3         |
| GCQVvW |         8          |        28       |   3   |        4         |
| GCQVuw |         8          |        28       |   3   |        4         |
| GCQVvw |         8          |        30       |   3   |        4         |
| GCQVvs |         8          |        30       |   3   |        4         |
| GCQVv[ |         8          |        30       |   3   |        4         |
| GCQVu{ |         8          |        30       |   3   |        4         |
| GCQVv{ |         8          |        32       |   3   |        4         |
| GCQVno |         8          |        28       |   3   |        4         |
| GCQVng |         8          |        28       |   3   |        4         |
| GCQVmw |         8          |        28       |   3   |        4         |
| GCQVlw |         8          |        28       |   3   |        4         |
| GCQVnw |         8          |        30       |   3   |        4         |
| GCQVns |         8          |        30       |   3   |        4         |
| GCQVnk |         8          |        30       |   3   |        5         |
| GCQVm{ |         8          |        30       |   3   |        5         |
| GCQVl{ |         8          |        30       |   3   |        5         |
| GCQVn{ |         8          |        32       |   3   |        5         |
| GCQU~w |         8          |        30       |   3   |        4         |
| GCQU~{ |         8          |        32       |   3   |        5         |
| GCQV~w |         8          |        32       |   3   |        4         |
| GCQV~{ |         8          |        34       |   3   |        5         |
| GCRbf_ |         8          |        24       |   3   |        3         |
| GCRbfO |         8          |        24       |   3   |        3         |
| GCRbeo |         8          |        24       |   3   |        3         |
| GCRbdo |         8          |        24       |   3   |        3         |
| GCRbfG |         8          |        24       |   3   |        3         |
| GCRbdg |         8          |        24       |   3   |        3         |
| GCRbcw |         8          |        24       |   3   |        3         |
| GCRb`w |         8          |        24       |   3   |        3         |
| GCRbeK |         8          |        24       |   3   |        3         |
| GCRbdK |         8          |        24       |   3   |        3         |
| GCRbck |         8          |        24       |   3   |        3         |
| GCRbc[ |         8          |        24       |   3   |        3         |
| GCRba[ |         8          |        24       |   3   |        3         |
| GCRb`[ |         8          |        24       |   3   |        3         |
| GCRbfo |         8          |        26       |   3   |        3         |
| GCRbfg |         8          |        26       |   3   |        3         |
| GCRbfW |         8          |        26       |   3   |        3         |
| GCRbew |         8          |        26       |   3   |        3         |
| GCRbdw |         8          |        26       |   3   |        3         |
| GCRbbw |         8          |        26       |   3   |        3         |
| GCRbfK |         8          |        26       |   3   |        3         |
| GCRbek |         8          |        26       |   3   |        4         |
| GCRbdk |         8          |        26       |   3   |        4         |
| GCRbe[ |         8          |        26       |   3   |        3         |
| GCRbd[ |         8          |        26       |   3   |        3         |
| GCRbb[ |         8          |        26       |   3   |        3         |
| GCRbc{ |         8          |        26       |   3   |        3         |
| GCRbfw |         8          |        28       |   3   |        3         |
| GCRbfk |         8          |        28       |   3   |        4         |
| GCRbf[ |         8          |        28       |   3   |        3         |
| GCRbe{ |         8          |        28       |   3   |        4         |
| GCRbd{ |         8          |        28       |   3   |        4         |
| GCRbf{ |         8          |        30       |   3   |        4         |
| GCRcqo |         8          |        22       |   3   |        3         |
| GCRcvO |         8          |        24       |   3   |        3         |
| GCRcuo |         8          |        24       |   3   |        3         |
| GCRcro |         8          |        24       |   3   |        3         |
| GCRcug |         8          |        24       |   3   |        3         |
| GCRcrg |         8          |        24       |   3   |        3         |
| GCRcuW |         8          |        24       |   3   |        3         |
| GCRcpw |         8          |        24       |   3   |        3         |
| GCRcvC |         8          |        24       |   3   |        3         |
| GCRcuS |         8          |        24       |   3   |        3         |
| GCRctS |         8          |        24       |   3   |        3         |
| GCRcss |         8          |        24       |   3   |        4         |
| GCRcqs |         8          |        24       |   3   |        3         |
| GCRcuK |         8          |        24       |   3   |        3         |
| GCRctK |         8          |        24       |   3   |        3         |
| GCRcrK |         8          |        24       |   3   |        3         |
| GCRcsk |         8          |        24       |   3   |        4         |
| GCRcqk |         8          |        24       |   3   |        3         |
| GCRcpk |         8          |        24       |   3   |        3         |
| GCRcs[ |         8          |        24       |   3   |        3         |
| GCRcq[ |         8          |        24       |   3   |        3         |
| GCRcp[ |         8          |        24       |   3   |        3         |
| GCRco{ |         8          |        24       |   3   |        3         |
| GCRcvo |         8          |        26       |   3   |        3         |
| GCRcvg |         8          |        26       |   3   |        3         |
| GCRcvW |         8          |        26       |   3   |        3         |
| GCRcuw |         8          |        26       |   3   |        3         |
| GCRctw |         8          |        26       |   3   |        3         |
| GCRcrw |         8          |        26       |   3   |        3         |
| GCRcvc |         8          |        26       |   3   |        4         |
| GCRcvS |         8          |        26       |   3   |        3         |
| GCRcus |         8          |        26       |   3   |        4         |
| GCRcts |         8          |        26       |   3   |        4         |
| GCRcrs |         8          |        26       |   3   |        3         |
| GCRcvK |         8          |        26       |   3   |        3         |
| GCRcuk |         8          |        26       |   3   |        4         |
| GCRctk |         8          |        26       |   3   |        4         |
| GCRcrk |         8          |        26       |   3   |        3         |
| GCRcu[ |         8          |        26       |   3   |        4         |
| GCRct[ |         8          |        26       |   3   |        3         |
| GCRcr[ |         8          |        26       |   3   |        3         |
| GCRcs{ |         8          |        26       |   3   |        4         |
| GCRcq{ |         8          |        26       |   3   |        3         |
| GCRcp{ |         8          |        26       |   3   |        3         |
| GCRcvw |         8          |        28       |   3   |        3         |
| GCRcvs |         8          |        28       |   3   |        4         |
| GCRcvk |         8          |        28       |   3   |        4         |
| GCRcv[ |         8          |        28       |   3   |        4         |
| GCRcu{ |         8          |        28       |   3   |        4         |
| GCRct{ |         8          |        28       |   3   |        4         |
| GCRcr{ |         8          |        28       |   3   |        3         |
| GCRcv{ |         8          |        30       |   3   |        4         |
| GCR`v? |         8          |        22       |   4   |        3         |
| GCR`u_ |         8          |        22       |   3   |        3         |
| GCR`r_ |         8          |        22       |   4   |        3         |
| GCR`v_ |         8          |        24       |   3   |        3         |
| GCR`uo |         8          |        24       |   3   |        3         |
| GCR`vG |         8          |        24       |   3   |        3         |
| GCR`ug |         8          |        24       |   3   |        3         |
| GCR`tg |         8          |        24       |   3   |        3         |
| GCR`rg |         8          |        24       |   3   |        3         |
| GCR`sw |         8          |        24       |   3   |        3         |
| GCR`pw |         8          |        24       |   3   |        3         |
| GCR`uK |         8          |        24       |   3   |        3         |
| GCR`tK |         8          |        24       |   3   |        3         |
| GCR`sk |         8          |        24       |   3   |        3         |
| GCR`qk |         8          |        24       |   3   |        3         |
| GCR`vo |         8          |        26       |   3   |        3         |
| GCR`vg |         8          |        26       |   3   |        3         |
| GCR`uw |         8          |        26       |   3   |        3         |
| GCR`tw |         8          |        26       |   3   |        3         |
| GCR`vK |         8          |        26       |   3   |        3         |
| GCR`uk |         8          |        26       |   3   |        3         |
| GCR`tk |         8          |        26       |   3   |        4         |
| GCR`rk |         8          |        26       |   3   |        3         |
| GCR`vw |         8          |        28       |   3   |        3         |
| GCR`vk |         8          |        28       |   3   |        4         |
| GCR`u{ |         8          |        28       |   3   |        3         |
| GCR`v{ |         8          |        30       |   3   |        4         |
| GCRffO |         8          |        26       |   3   |        3         |
| GCRffG |         8          |        26       |   3   |        3         |
| GCRfeg |         8          |        26       |   3   |        3         |
| GCRffo |         8          |        28       |   3   |        3         |
| GCRffg |         8          |        28       |   3   |        3         |
| GCRffW |         8          |        28       |   3   |        3         |
| GCRfew |         8          |        28       |   3   |        3         |
| GCRfdw |         8          |        28       |   3   |        3         |
| GCRfbw |         8          |        28       |   3   |        3         |
| GCRffc |         8          |        28       |   3   |        4         |
| GCRffS |         8          |        28       |   3   |        3         |
| GCRfes |         8          |        28       |   3   |        4         |
| GCRffw |         8          |        30       |   3   |        3         |
| GCRffs |         8          |        30       |   3   |        4         |
| GCRffk |         8          |        30       |   3   |        4         |
| GCRff[ |         8          |        30       |   3   |        3         |
| GCRfe{ |         8          |        30       |   3   |        4         |
| GCRfd{ |         8          |        30       |   3   |        4         |
| GCRfb{ |         8          |        30       |   3   |        3         |
| GCRff{ |         8          |        32       |   3   |        4         |
| GCRev_ |         8          |        26       |   3   |        3         |
| GCRevG |         8          |        26       |   3   |        3         |
| GCReug |         8          |        26       |   3   |        3         |
| GCRepw |         8          |        26       |   3   |        3         |
| GCRevo |         8          |        28       |   3   |        3         |
| GCRevg |         8          |        28       |   3   |        3         |
| GCReuw |         8          |        28       |   3   |        3         |
| GCRetw |         8          |        28       |   3   |        3         |
| GCReus |         8          |        28       |   3   |        4         |
| GCRevw |         8          |        30       |   3   |        3         |
| GCRevs |         8          |        30       |   3   |        4         |
| GCRevk |         8          |        30       |   3   |        4         |
| GCReu{ |         8          |        30       |   3   |        4         |
| GCRet{ |         8          |        30       |   3   |        4         |
| GCRev{ |         8          |        32       |   3   |        4         |
| GCRdro |         8          |        26       |   3   |        3         |
| GCRdrg |         8          |        26       |   3   |        3         |
| GCRdqw |         8          |        26       |   3   |        3         |
| GCRdpw |         8          |        26       |   3   |        3         |
| GCRdvo |         8          |        28       |   3   |        3         |
| GCRdvg |         8          |        28       |   3   |        3         |
| GCRdvW |         8          |        28       |   3   |        3         |
| GCRduw |         8          |        28       |   3   |        3         |
| GCRdtw |         8          |        28       |   3   |        3         |
| GCRdrw |         8          |        28       |   3   |        3         |
| GCRdvc |         8          |        28       |   3   |        4         |
| GCRdvS |         8          |        28       |   3   |        3         |
| GCRdus |         8          |        28       |   3   |        4         |
| GCRdts |         8          |        28       |   3   |        4         |
| GCRdrs |         8          |        28       |   3   |        4         |
| GCRdvK |         8          |        28       |   3   |        3         |
| GCRduk |         8          |        28       |   3   |        4         |
| GCRdu[ |         8          |        28       |   3   |        4         |
| GCRdvw |         8          |        30       |   3   |        3         |
| GCRdvs |         8          |        30       |   3   |        4         |
| GCRdvk |         8          |        30       |   3   |        4         |
| GCRdv[ |         8          |        30       |   3   |        4         |
| GCRdu{ |         8          |        30       |   3   |        4         |
| GCRdt{ |         8          |        30       |   3   |        4         |
| GCRdr{ |         8          |        30       |   3   |        4         |
| GCRdv{ |         8          |        32       |   3   |        4         |
| GCRfNo |         8          |        28       |   3   |        3         |
| GCRfNg |         8          |        28       |   3   |        3         |
| GCRfMw |         8          |        28       |   3   |        3         |
| GCRfNK |         8          |        28       |   3   |        4         |
| GCRfMk |         8          |        28       |   3   |        4         |
| GCRfK{ |         8          |        28       |   3   |        4         |
| GCRfNw |         8          |        30       |   3   |        3         |
| GCRfNk |         8          |        30       |   3   |        4         |
| GCRfM{ |         8          |        30       |   3   |        4         |
| GCRfL{ |         8          |        30       |   3   |        4         |
| GCRfN{ |         8          |        32       |   3   |        4         |
| GCReno |         8          |        28       |   3   |        3         |
| GCReng |         8          |        28       |   3   |        3         |
| GCRenc |         8          |        28       |   3   |        4         |
| GCRenS |         8          |        28       |   3   |        3         |
| GCRems |         8          |        28       |   3   |        4         |
| GCRemk |         8          |        28       |   3   |        4         |
| GCRem[ |         8          |        28       |   3   |        4         |
| GCRek{ |         8          |        28       |   3   |        4         |
| GCRei{ |         8          |        28       |   3   |        4         |
| GCRenw |         8          |        30       |   3   |        3         |
| GCRens |         8          |        30       |   3   |        4         |
| GCRenk |         8          |        30       |   3   |        4         |
| GCRen[ |         8          |        30       |   3   |        4         |
| GCRem{ |         8          |        30       |   3   |        4         |
| GCRel{ |         8          |        30       |   3   |        4         |
| GCRej{ |         8          |        30       |   3   |        4         |
| GCRen{ |         8          |        32       |   3   |        4         |
| GCRdno |         8          |        28       |   3   |        3         |
| GCRdng |         8          |        28       |   3   |        3         |
| GCRdnW |         8          |        28       |   3   |        3         |
| GCRdmw |         8          |        28       |   3   |        3         |
| GCRdlw |         8          |        28       |   3   |        3         |
| GCRdjw |         8          |        28       |   3   |        3         |
| GCRdnc |         8          |        28       |   3   |        4         |
| GCRdnS |         8          |        28       |   3   |        3         |
| GCRdms |         8          |        28       |   3   |        4         |
| GCRdls |         8          |        28       |   3   |        4         |
| GCRdjs |         8          |        28       |   3   |        4         |
| GCRdnK |         8          |        28       |   3   |        4         |
| GCRdmk |         8          |        28       |   3   |        4         |
| GCRdlk |         8          |        28       |   3   |        4         |
| GCRdm[ |         8          |        28       |   3   |        4         |
| GCRdl[ |         8          |        28       |   3   |        4         |
| GCRdk{ |         8          |        28       |   3   |        4         |
| GCRdi{ |         8          |        28       |   3   |        3         |
| GCRdnw |         8          |        30       |   3   |        3         |
| GCRdns |         8          |        30       |   3   |        4         |
| GCRdnk |         8          |        30       |   3   |        4         |
| GCRdn[ |         8          |        30       |   3   |        4         |
| GCRdm{ |         8          |        30       |   3   |        4         |
| GCRdl{ |         8          |        30       |   3   |        4         |
| GCRdj{ |         8          |        30       |   3   |        4         |
| GCRdn{ |         8          |        32       |   3   |        4         |
| GCRbno |         8          |        28       |   3   |        3         |
| GCRbng |         8          |        28       |   3   |        3         |
| GCRbnW |         8          |        28       |   3   |        3         |
| GCRbmw |         8          |        28       |   3   |        3         |
| GCRblw |         8          |        28       |   3   |        3         |
| GCRbjw |         8          |        28       |   3   |        3         |
| GCRbnK |         8          |        28       |   3   |        4         |
| GCRbmk |         8          |        28       |   3   |        4         |
| GCRblk |         8          |        28       |   3   |        4         |
| GCRbm[ |         8          |        28       |   3   |        4         |
| GCRbk{ |         8          |        28       |   3   |        3         |
| GCRbnw |         8          |        30       |   3   |        3         |
| GCRbnk |         8          |        30       |   3   |        4         |
| GCRbn[ |         8          |        30       |   3   |        4         |
| GCRbm{ |         8          |        30       |   3   |        4         |
| GCRbl{ |         8          |        30       |   3   |        4         |
| GCRbn{ |         8          |        32       |   3   |        4         |
| GCRc~o |         8          |        28       |   3   |        3         |
| GCRc~g |         8          |        28       |   3   |        3         |
| GCRc|w |         8          |        28       |   3   |        3         |
| GCRc~c |         8          |        28       |   3   |        4         |
| GCRc~S |         8          |        28       |   3   |        3         |
| GCRc}s |         8          |        28       |   3   |        4         |
| GCRc|s |         8          |        28       |   3   |        4         |
| GCRczs |         8          |        28       |   3   |        3         |
| GCRc{{ |         8          |        28       |   3   |        4         |
| GCRcy{ |         8          |        28       |   3   |        3         |
| GCRc~w |         8          |        30       |   3   |        3         |
| GCRc~s |         8          |        30       |   3   |        4         |
| GCRc~k |         8          |        30       |   3   |        4         |
| GCRc~[ |         8          |        30       |   3   |        4         |
| GCRc}{ |         8          |        30       |   3   |        4         |
| GCRc|{ |         8          |        30       |   3   |        4         |
| GCRcz{ |         8          |        30       |   3   |        3         |
| GCRc~{ |         8          |        32       |   3   |        4         |
| GCR`~o |         8          |        28       |   3   |        3         |
| GCR`~g |         8          |        28       |   3   |        3         |
| GCR`}w |         8          |        28       |   3   |        3         |
| GCR`|w |         8          |        28       |   3   |        3         |
| GCR`~K |         8          |        28       |   3   |        4         |
| GCR`}k |         8          |        28       |   3   |        3         |
| GCR`|k |         8          |        28       |   3   |        4         |
| GCR`zk |         8          |        28       |   3   |        4         |
| GCR`~w |         8          |        30       |   3   |        3         |
| GCR`~k |         8          |        30       |   3   |        4         |
| GCR`}{ |         8          |        30       |   3   |        3         |
| GCR`~{ |         8          |        32       |   3   |        4         |
| GCRfvo |         8          |        30       |   3   |        3         |
| GCRfvw |         8          |        32       |   3   |        3         |
| GCRfvs |         8          |        32       |   3   |        4         |
| GCRfv{ |         8          |        34       |   3   |        4         |
| GCRfno |         8          |        30       |   3   |        3         |
| GCRfnw |         8          |        32       |   3   |        3         |
| GCRfns |         8          |        32       |   3   |        4         |
| GCRfnk |         8          |        32       |   3   |        4         |
| GCRfn[ |         8          |        32       |   3   |        4         |
| GCRfm{ |         8          |        32       |   3   |        4         |
| GCRfn{ |         8          |        34       |   3   |        4         |
| GCRe~o |         8          |        30       |   3   |        3         |
| GCRe~w |         8          |        32       |   3   |        3         |
| GCRe~s |         8          |        32       |   3   |        4         |
| GCRe}{ |         8          |        32       |   3   |        4         |
| GCRe~{ |         8          |        34       |   3   |        4         |
| GCRd~o |         8          |        30       |   3   |        3         |
| GCRd~w |         8          |        32       |   3   |        3         |
| GCRd~s |         8          |        32       |   3   |        4         |
| GCRd~k |         8          |        32       |   3   |        4         |
| GCRd~[ |         8          |        32       |   3   |        4         |
| GCRd}{ |         8          |        32       |   3   |        4         |
| GCRd|{ |         8          |        32       |   3   |        4         |
| GCRdz{ |         8          |        32       |   3   |        4         |
| GCRd~{ |         8          |        34       |   3   |        4         |
| GCRf~w |         8          |        34       |   3   |        3         |
| GCRf~{ |         8          |        36       |   3   |        4         |
| GCRVF_ |         8          |        24       |   3   |        3         |
| GCRVFO |         8          |        24       |   3   |        3         |
| GCRVEo |         8          |        24       |   3   |        3         |
| GCRVFG |         8          |        24       |   3   |        3         |
| GCRVEg |         8          |        24       |   3   |        4         |
| GCRVDg |         8          |        24       |   3   |        4         |
| GCRVBg |         8          |        24       |   3   |        3         |
| GCRVEW |         8          |        24       |   3   |        3         |
| GCRVDW |         8          |        24       |   3   |        3         |
| GCRVFC |         8          |        24       |   3   |        3         |
| GCRVEc |         8          |        24       |   3   |        3         |
| GCRVES |         8          |        24       |   3   |        3         |
| GCRVEK |         8          |        24       |   3   |        3         |
| GCRVFo |         8          |        26       |   3   |        3         |
| GCRVFg |         8          |        26       |   3   |        4         |
| GCRVFW |         8          |        26       |   3   |        3         |
| GCRVEw |         8          |        26       |   3   |        4         |
| GCRVDw |         8          |        26       |   3   |        4         |
| GCRVBw |         8          |        26       |   3   |        3         |
| GCRVFc |         8          |        26       |   3   |        3         |
| GCRVFS |         8          |        26       |   3   |        3         |
| GCRVEs |         8          |        26       |   3   |        3         |
| GCRVBs |         8          |        26       |   3   |        3         |
| GCRVFK |         8          |        26       |   3   |        3         |
| GCRVEk |         8          |        26       |   3   |        4         |
| GCRVFw |         8          |        28       |   3   |        4         |
| GCRVFs |         8          |        28       |   3   |        3         |
| GCRVFk |         8          |        28       |   3   |        4         |
| GCRVF[ |         8          |        28       |   3   |        3         |
| GCRVF{ |         8          |        30       |   3   |        4         |
| GCRUV_ |         8          |        24       |   3   |        3         |
| GCRUTo |         8          |        24       |   3   |        3         |
| GCRUTW |         8          |        24       |   3   |        3         |
| GCRUVo |         8          |        26       |   3   |        3         |
| GCRUVg |         8          |        26       |   3   |        4         |
| GCRUVW |         8          |        26       |   3   |        3         |
| GCRUTw |         8          |        26       |   3   |        4         |
| GCRURw |         8          |        26       |   3   |        4         |
| GCRUVK |         8          |        26       |   3   |        3         |
| GCRUVw |         8          |        28       |   3   |        4         |
| GCRUVk |         8          |        28       |   3   |        4         |
| GCRUV{ |         8          |        30       |   3   |        4         |
| GCRStK |         8          |        24       |   3   |        3         |
| GCRSrK |         8          |        24       |   3   |        3         |
| GCRSvo |         8          |        26       |   3   |        3         |
| GCRSvg |         8          |        26       |   3   |        4         |
| GCRSvW |         8          |        26       |   3   |        4         |
| GCRStw |         8          |        26       |   3   |        4         |
| GCRSvK |         8          |        26       |   3   |        3         |
| GCRStk |         8          |        26       |   3   |        4         |
| GCRSr[ |         8          |        26       |   3   |        4         |
| GCRSvw |         8          |        28       |   3   |        4         |
| GCRSvk |         8          |        28       |   3   |        4         |
| GCRSv[ |         8          |        28       |   3   |        4         |
| GCRSv{ |         8          |        30       |   3   |        4         |
| GCRVeg |         8          |        26       |   3   |        4         |
| GCRVfo |         8          |        28       |   3   |        3         |
| GCRVfg |         8          |        28       |   3   |        4         |
| GCRVfW |         8          |        28       |   3   |        3         |
| GCRVew |         8          |        28       |   3   |        4         |
| GCRVdw |         8          |        28       |   3   |        4         |
| GCRVfc |         8          |        28       |   3   |        4         |
| GCRVdk |         8          |        28       |   3   |        4         |
| GCRVfw |         8          |        30       |   3   |        4         |
| GCRVfs |         8          |        30       |   3   |        4         |
| GCRVfk |         8          |        30       |   3   |        4         |
| GCRVf[ |         8          |        30       |   3   |        3         |
| GCRVe{ |         8          |        30       |   3   |        4         |
| GCRVd{ |         8          |        30       |   3   |        4         |
| GCRVf{ |         8          |        32       |   3   |        4         |
| GCRVVG |         8          |        26       |   3   |        3         |
| GCRVUg |         8          |        26       |   3   |        4         |
| GCRVUW |         8          |        26       |   3   |        3         |
| GCRVVo |         8          |        28       |   3   |        3         |
| GCRVVg |         8          |        28       |   3   |        4         |
| GCRVVW |         8          |        28       |   3   |        3         |
| GCRVUw |         8          |        28       |   3   |        4         |
| GCRVTw |         8          |        28       |   3   |        4         |
| GCRVRw |         8          |        28       |   3   |        4         |
| GCRVVc |         8          |        28       |   3   |        3         |
| GCRVVS |         8          |        28       |   3   |        4         |
| GCRVUs |         8          |        28       |   3   |        4         |
| GCRVTs |         8          |        28       |   3   |        4         |
| GCRVRs |         8          |        28       |   3   |        4         |
| GCRVVK |         8          |        28       |   3   |        3         |
| GCRVUk |         8          |        28       |   3   |        4         |
| GCRVTk |         8          |        28       |   3   |        4         |
| GCRVRk |         8          |        28       |   3   |        3         |
| GCRVT[ |         8          |        28       |   3   |        3         |
| GCRVS{ |         8          |        28       |   3   |        4         |
| GCRVP{ |         8          |        28       |   3   |        3         |
| GCRVVw |         8          |        30       |   3   |        4         |
| GCRVVs |         8          |        30       |   3   |        4         |
| GCRVVk |         8          |        30       |   3   |        4         |
| GCRVV[ |         8          |        30       |   3   |        4         |
| GCRVU{ |         8          |        30       |   3   |        4         |
| GCRVT{ |         8          |        30       |   3   |        4         |
| GCRVR{ |         8          |        30       |   3   |        4         |
| GCRVV{ |         8          |        32       |   3   |        4         |
| GCRUvo |         8          |        28       |   3   |        3         |
| GCRUvg |         8          |        28       |   3   |        4         |
| GCRUvW |         8          |        28       |   3   |        4         |
| GCRUtw |         8          |        28       |   3   |        4         |
| GCRUvc |         8          |        28       |   3   |        4         |
| GCRUts |         8          |        28       |   3   |        4         |
| GCRUvK |         8          |        28       |   3   |        3         |
| GCRUtk |         8          |        28       |   3   |        4         |
| GCRUt[ |         8          |        28       |   3   |        3         |
| GCRUvw |         8          |        30       |   3   |        4         |
| GCRUvs |         8          |        30       |   3   |        4         |
| GCRUvk |         8          |        30       |   3   |        4         |
| GCRUv[ |         8          |        30       |   3   |        4         |
| GCRUt{ |         8          |        30       |   3   |        4         |
| GCRUv{ |         8          |        32       |   3   |        4         |
| GCRTvo |         8          |        28       |   3   |        3         |
| GCRTvg |         8          |        28       |   3   |        4         |
| GCRTvW |         8          |        28       |   3   |        4         |
| GCRTuw |         8          |        28       |   3   |        4         |
| GCRTtw |         8          |        28       |   3   |        4         |
| GCRTvc |         8          |        28       |   3   |        4         |
| GCRTts |         8          |        28       |   3   |        4         |
| GCRTvK |         8          |        28       |   3   |        3         |
| GCRTuk |         8          |        28       |   3   |        4         |
| GCRTtk |         8          |        28       |   3   |        4         |
| GCRTvw |         8          |        30       |   3   |        4         |
| GCRTvs |         8          |        30       |   3   |        4         |
| GCRTvk |         8          |        30       |   3   |        4         |
| GCRTv[ |         8          |        30       |   3   |        4         |
| GCRTu{ |         8          |        30       |   3   |        4         |
| GCRTt{ |         8          |        30       |   3   |        4         |
| GCRTv{ |         8          |        32       |   3   |        4         |
| GCRUno |         8          |        28       |   3   |        4         |
| GCRUng |         8          |        28       |   3   |        4         |
| GCRUnw |         8          |        30       |   3   |        4         |
| GCRUnk |         8          |        30       |   3   |        5         |
| GCRUn[ |         8          |        30       |   3   |        4         |
| GCRUl{ |         8          |        30       |   3   |        5         |
| GCRUn{ |         8          |        32       |   3   |        5         |
| GCRU^o |         8          |        28       |   3   |        4         |
| GCRU^g |         8          |        28       |   3   |        4         |
| GCRU^W |         8          |        28       |   3   |        3         |
| GCRU\w |         8          |        28       |   3   |        4         |
| GCRUZw |         8          |        28       |   3   |        4         |
| GCRU^w |         8          |        30       |   3   |        4         |
